Reference,Journal_name,Publication_year,Experiment_year,IF,Data_details,Variable_name,Variable_identity,Plant_species,Plant_status,Herbivore_feeding_guild,cor,n,zr,var,Bio_var
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Hemiptera,Herbivore abundance,Solanum carolinense,Native,Sap feeders,0.5203134155539223,6,0.5767694227306788,0.3333333333333333,Bio_18
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Hemiptera,Herbivore abundance,Solidago altissima,Native,Sap feeders,-0.1478455208445029,6,-0.14893709007195627,0.3333333333333333,Bio_18
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Lepidoptera,Herbivore abundance,Solanum carolinense,Native,Defoliators,0.8074805106555266,6,1.1197458897686143,0.3333333333333333,Bio_18
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Lepidoptera,Herbivore abundance,Solidago altissima,Native,Defoliators,0.5034610976295043,6,0.553931646962417,0.3333333333333333,Bio_18
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 3,Abundance (number of individuals)_Orthoptera,Herbivore abundance,Solidago altissima,Native,Defoliators,-0.08008515572877822,6,-0.08025702986130875,0.3333333333333333,Bio_18
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 4,Cumulative leaf damage (%),Herbivory,Solanum carolinense,Native,Defoliators,0.6573557101999249,18,0.7881429062630604,0.06666666666666667,Bio_18
Kim 2014,Oikos,2014,2008,3.6,Data from Figure 4,Cumulative leaf damage (%),Herbivory,Solidago altissima,Native,Defoliators,-0.1113809414564491,18,-0.11184498718214281,0.06666666666666667,Bio_18
Koop 2004,Florida Scientist,2004,2000,NA,Data from Figure 2,Percent Herbivory,Herbivory,Ardisia elliptica,Non-native,Defoliators,0.05114286173542479,7,0.05118752146862533,0.25,Bio_18
Koop 2004,Florida Scientist,2004,2000,NA,Data from Figure 2,Percent Herbivory,Herbivory,Ardisia escallonioides,Native,Defoliators,-0.3527797086037883,7,-0.36861504003772866,0.25,Bio_18
Kozlov et al. 2009,Environmental Pollution,2009,NA,8.071,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Betula pubescens,Native,Defoliators,0.757577943143432,6,0.9905058639428745,0.3333333333333333,Bio_18
Kozlov et al. 2009,Environmental Pollution,2009,NA,8.071,Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3,Losses,Herbivory,Salix caprea,Native,Defoliators,0.5190088986326262,4,0.5749822955686876,1,Bio_18
Kozlov et al. 2013,Ecography,2013,2008,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_F, 2008",Herbivore abundance,Betula pendula,Native,Miners,0.5794728928522805,8,0.661668758410536,0.2,Bio_18
Kozlov et al. 2013,Ecography,2013,2008,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_F, 2008",Herbivore abundance,Betula pubescens,Native,Miners,0.5803559506130453,9,0.66299926768043,0.16666666666666666,Bio_18
Kozlov et al. 2013,Ecography,2013,2008,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2008",Herbivore abundance,Betula pendula,Native,Miners,0.5419199576855265,9,0.6068698554684573,0.16666666666666666,Bio_18
Kozlov et al. 2013,Ecography,2013,2008,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2008",Herbivore abundance,Betula pubescens,Native,Miners,0.7568583714627918,10,0.9888191848662513,0.14285714285714285,Bio_18
Kozlov et al. 2013,Ecography,2013,2009,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_K, 2009",Herbivore abundance,Betula pendula,Native,Miners,0.45486218223461594,8,0.490813907838312,0.2,Bio_18
Kozlov et al. 2013,Ecography,2013,2009,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_K, 2009",Herbivore abundance,Betula pubescens,Native,Miners,0.802617742465755,10,1.1059264733005418,0.14285714285714285,Bio_18
Kozlov et al. 2013,Ecography,2013,2009,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2009",Herbivore abundance,Betula pendula,Native,Miners,0.7455711689018789,9,0.9629079718346515,0.16666666666666666,Bio_18
Kozlov et al. 2013,Ecography,2013,2009,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2009",Herbivore abundance,Betula pubescens,Native,Miners,0.6049396251828904,10,0.7009014086443733,0.14285714285714285,Bio_18
Kozlov et al. 2013,Ecography,2013,2010,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_A, 2010",Herbivore abundance,Betula pendula,Native,Miners,-0.8767803083091873,9,-1.3616720561008504,0.16666666666666666,Bio_18
Kozlov et al. 2013,Ecography,2013,2010,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_A, 2010",Herbivore abundance,Betula pubescens,Native,Miners,-0.3192224961188409,10,-0.33078114544446763,0.14285714285714285,Bio_18
Kozlov et al. 2013,Ecography,2013,2010,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2010",Herbivore abundance,Betula pendula,Native,Miners,0.30988019582627113,9,0.3204128733442755,0.16666666666666666,Bio_18
Kozlov et al. 2013,Ecography,2013,2010,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2010",Herbivore abundance,Betula pubescens,Native,Miners,0.24352465580903548,10,0.24851757502482033,0.14285714285714285,Bio_18
Kozlov et al. 2013,Ecography,2013,2011,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_N, 2011",Herbivore abundance,Betula pendula,Native,Miners,0.5065756978175624,3,0.5581125736868809,1,Bio_18
Kozlov et al. 2013,Ecography,2013,2011,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_N, 2011",Herbivore abundance,Betula pubescens,Native,Miners,0.5725218943083181,10,0.6512664197086031,0.14285714285714285,Bio_18
Kozlov et al. 2013,Ecography,2013,2011,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2011",Herbivore abundance,Betula pendula,Native,Miners,0.15600482243285727,9,0.15728922004085755,0.16666666666666666,Bio_18
Kozlov et al. 2013,Ecography,2013,2011,6.4,Data from Figure 3,"Abundance, mines/kg offoliage_R, 2011",Herbivore abundance,Betula pubescens,Native,Miners,0.4676260005661613,10,0.5070275799529672,0.14285714285714285,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Betula nana_Defoliators_DL",Herbivory,Betula nana,Native,Defoliators,0.6639139434990655,3,0.7997803278440859,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Betula nana_Defoliators_LA",Herbivory,Betula nana,Native,Defoliators,0.8712303041180853,3,1.3381629522947456,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Betula pubescens_Defoliators_DL",Herbivory,Betula pubescens,Native,Defoliators,0.6779649131098624,3,0.8253382358783337,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Betula pubescens_Defoliators_LA",Herbivory,Betula pubescens,Native,Defoliators,0.8631300864045467,3,1.3054911277670649,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Betula pubescens_Miners_DL",Herbivory,Betula pubescens,Native,Miners,0.9993216505720213,3,3.9943279853001976,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Betula pubescens_Miners_LA",Herbivory,Betula pubescens,Native,Miners,0.9901515860371948,3,2.654327832745496,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix lanata_Defoliators_DL",Herbivory,Salix lanata,Native,Defoliators,0.6299626479192293,4,0.7413542130193084,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix lanata_Defoliators_LA",Herbivory,Salix lanata,Native,Defoliators,0.865136255223898,4,1.3134122088555225,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix lanata_Gallers_DL",Herbivory,Salix lanata,Native,Gallers,0.9334882937012748,4,1.6848515449160113,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix lanata_Gallers_LA",Herbivory,Salix lanata,Native,Gallers,0.9334882937012747,4,1.6848515449160104,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix myrtilloides_Defoliators_DL",Herbivory,Salix myrtilloides,Native,Defoliators,-0.28619567974665155,3,-0.29441759562944486,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix myrtilloides_Defoliators_LA",Herbivory,Salix myrtilloides,Native,Defoliators,0.6852988478610578,3,0.8390373598535682,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix myrtilloides_Gallers_DL",Herbivory,Salix myrtilloides,Native,Gallers,0.9790755624849464,3,2.2747336960077664,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix myrtilloides_Gallers_LA",Herbivory,Salix myrtilloides,Native,Gallers,0.9790755624849465,3,2.274733696007769,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix phylicifolia_Defoliators_DL",Herbivory,Salix phylicifolia,Native,Defoliators,0.5803288569288015,4,0.6629584148846246,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Salix phylicifolia_Defoliators_LA",Herbivory,Salix phylicifolia,Native,Defoliators,0.6486755391850628,4,0.7730086773822773,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Vaccinium myrtillus_Defoliators_DL",Herbivory,Vaccinium myrtillus,Native,Defoliators,0.9516636346558757,3,1.849126625385153,1,Bio_18
Kozlov et al. 2015a,Polar Biology,2015,2013,1.9,Data from Table 2,"Foliar damage (%), mean ± SE_Vaccinium myrtillus_Defoliators_LA",Herbivory,Vaccinium myrtillus,Native,Defoliators,0.9995884465820919,3,4.244256558145874,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Acer rubrum,Native,All folivores,-0.9884497242529096,4,-2.574200635093045,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Acer rubrum,Native,Defoliators,-0.82442255104672,4,-1.1704692777130585,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Acer rubrum,Native,Gallers,-0.057767079058923185,4,-0.05783146495267804,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Acer rubrum,Native,Miners,-0.8894656735031081,4,-1.419361617951536,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus incana,Native,All folivores,0.2963309253353945,6,0.30549250334715133,0.3333333333333333,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus incana,Native,Defoliators,0.17004750984533468,6,0.171715587648985,0.3333333333333333,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus incana,Native,Gallers,0.311016957683459,6,0.3216708799571252,0.3333333333333333,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus incana,Native,Miners,0.6535697497023154,6,0.7815051070375713,0.3333333333333333,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus viridis,Native,All folivores,0.5242004051452338,5,0.5821142403375784,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus viridis,Native,Defoliators,0.7450916347037847,5,0.9618291085927297,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus viridis,Native,Gallers,-0.0904661150260827,5,-0.09071412915526852,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Alnus viridis,Native,Miners,-0.28445646138503095,5,-0.29252423641794123,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula nana,Native,All folivores,0.2725010356911934,4,0.27956349345646236,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula nana,Native,Defoliators,0.2725010356911934,4,0.27956349345646236,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pendula,Native,All folivores,0.1613727751622296,13,0.16279585621411768,0.1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pendula,Native,Defoliators,0.147396137726002,13,0.14847769586824325,0.1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pendula,Native,Gallers,-0.18928657556471495,13,-0.19159712953423794,0.1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pendula,Native,Miners,0.32077549886032897,13,0.33251131716663795,0.1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula platyphylla,Native,All folivores,0.14311703447831,8,0.14410635231776556,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula platyphylla,Native,Defoliators,0.40459064919110954,8,0.42912601644097637,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula platyphylla,Native,Gallers,-0.36778405767206346,8,-0.38585810822884953,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula platyphylla,Native,Miners,0.8075172081879645,8,1.1198513589378716,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pubescens,Native,All folivores,0.6084854476151919,10,0.7065128069391594,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pubescens,Native,Defoliators,0.5561087529892853,10,0.6271820008489615,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pubescens,Native,Gallers,0.3494103472644858,10,0.36477194324358997,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Betula pubescens,Native,Miners,0.4450313108715511,10,0.4784872862823891,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Carpinus betulus,Native,All folivores,0.3772837676615223,4,0.3968888125108253,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Carpinus betulus,Native,Defoliators,0.485166169300279,4,0.5297188768663266,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Carpinus betulus,Native,Gallers,-0.7564134319599938,4,-0.9877783955947956,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Carpinus betulus,Native,Miners,0.2048232920326824,4,0.20776191271369504,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Corylus avellana,Native,All folivores,0.822139548032357,3,1.1633837001768,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Corylus avellana,Native,Defoliators,0.8403785808962029,3,1.2224608495021625,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Corylus avellana,Native,Miners,-0.9872115548202643,3,-2.522972831725468,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Cotoneaster melanocarpus,Native,All folivores,0.5435832653610398,3,0.6092277521888275,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Cotoneaster melanocarpus,Native,Defoliators,-0.12165939950664313,3,-0.12226501420780175,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Cotoneaster melanocarpus,Native,Gallers,0.07827870026236704,3,0.07843917635063269,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Cotoneaster melanocarpus,Native,Miners,0.8073345852813214,3,1.119326676055787,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Dasiphora fruticosa,Native,All folivores,0.016617299951138385,3,0.016618829742081145,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Dasiphora fruticosa,Native,Defoliators,0.016617299951138385,3,0.016618829742081145,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Fagus sylvatica,Native,All folivores,0.5688696138834821,4,0.6458500417607509,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Fagus sylvatica,Native,Defoliators,0.408637469856307,4,0.4339744676074512,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Fagus sylvatica,Native,Gallers,0.36677384761679904,4,0.38469037847446674,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Fagus sylvatica,Native,Miners,0.849799492192609,4,1.2554307047004347,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Populus tremula,Native,All folivores,0.6604277751946693,10,0.7935719404654509,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Populus tremula,Native,Defoliators,0.6206732110288468,10,0.7260994153356642,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Populus tremula,Native,Gallers,-0.35473667866367775,10,-0.3708519488604748,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Populus tremula,Native,Miners,0.4792159934526923,10,0.5219660556088105,0.14285714285714285,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Prunus padus,Native,All folivores,0.9085078684970788,3,1.5189120104832383,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Prunus padus,Native,Defoliators,-0.22685312664953877,3,-0.2308693507453937,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Prunus padus,Native,Gallers,0.9975182931895072,3,3.345357141074097,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Prunus padus,Native,Miners,0.9985361956639093,3,3.6095657665035024,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus mongolica,Native,All folivores,0.14533823548218808,4,0.14637474046057417,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus mongolica,Native,Defoliators,0.014915468475028752,4,0.014916574710084991,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus mongolica,Native,Gallers,0.5129695183744343,4,0.5667514276868729,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus mongolica,Native,Miners,0.697358552978583,4,0.8621398838245775,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus pubescens,Native,All folivores,0.9923276601306334,3,2.779718638032883,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus pubescens,Native,Defoliators,0.9944620933311864,3,2.943256546913452,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus pubescens,Native,Gallers,-0.8219949365267865,3,-1.1629376511878053,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus pubescens,Native,Miners,0.9828084238021397,3,2.3739250033317942,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus robur,Native,All folivores,-0.6480115414389738,8,-0.771863163431796,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus robur,Native,Defoliators,-0.64116137779662985,8,-0.7601433301437326,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus robur,Native,Gallers,-0.10815866131262948,8,-0.10858340392693874,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Quercus robur,Native,Miners,-0.07637112702908942,8,-0.07652012825987026,0.2,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix caprea,Native,All folivores,0.4840042318223922,7,0.5282003555569268,0.25,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix caprea,Native,Defoliators,0.4755734693725806,7,0.517248321525258,0.25,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix caprea,Native,Gallers,-0.10178266743870663,7,-0.10213634815997451,0.25,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix caprea,Native,Miners,-0.2428515018041809,7,-0.24780210794718127,0.25,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix dasyclados,Native,All folivores,-0.22084521924343792,3,-0.2245444913872433,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix dasyclados,Native,Defoliators,0.7719817211935825,3,1.0252140099068734,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix dasyclados,Native,Gallers,-0.9920645329164459,3,-2.762792308852152,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix dasyclados,Native,Miners,0.6049173981197841,3,0.7008663535854261,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix phylicifolia,Native,All folivores,-0.04179067779953379,5,-0.0418150319175829,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix phylicifolia,Native,Defoliators,-0.020552521514467986,5,-0.02055541608521161,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix phylicifolia,Native,Gallers,-0.5666042316090104,5,-0.6425071603831572,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix phylicifolia,Native,Miners,-0.1611360582440167,5,-0.16255281961720136,0.5,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix polaris,Native,All folivores,0.9986010554105412,3,3.632242327426214,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix polaris,Native,Defoliators,0.9996666118135118,3,4.349591747147878,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Leaves damaged (%),Herbivory,Salix polaris,Native,Gallers,0.9958111458014219,3,3.0831893002430792,1,Bio_18
Kozlov et al. 2015c,Global Ecology and Biogeography,2015,2015,7.7,Data from Appendix S3,Losses,Herbivory,Acer rubrum,Native,All folivores,-0.9172790848291488,4,-1.5715949212150329,1,Bio_18
